movieId,title,genres
1,Toy Story (1995),Unknown
2,GoldenEye (1995),Unknown
3,Four Rooms (1995),Unknown
4,Get Shorty (1995),Unknown
5,Copycat (1995),Unknown
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Unknown
7,Twelve Monkeys (1995),Unknown
8,Babe (1995),Unknown
9,Dead Man Walking (1995),Unknown
10,Richard III (1995),Unknown
11,Seven (Se7en) (1995),Unknown
12,"Usual Suspects, The (1995)",Unknown
13,Mighty Aphrodite (1995),Unknown
14,"Postino, Il (1994)",Unknown
15,Mr. Holland's Opus (1995),Unknown
16,French Twist (Gazon maudit) (1995),Unknown
17,From Dusk Till Dawn (1996),Unknown
18,"White Balloon, The (1995)",Unknown
19,Antonia's Line (1995),Unknown
20,Angels and Insects (1995),Unknown
21,Muppet Treasure Island (1996),Unknown
22,Braveheart (1995),Unknown
23,Taxi Driver (1976),Unknown
24,Rumble in the Bronx (1995),Unknown
25,"Birdcage, The (1996)",Unknown
26,"Brothers McMullen, The (1995)",Unknown
27,Bad Boys (1995),Unknown
28,Apollo 13 (1995),Unknown
29,Batman Forever (1995),Unknown
30,Belle de jour (1967),Unknown
31,Crimson Tide (1995),Unknown
32,Crumb (1994),Unknown
33,Desperado (1995),Unknown
34,"Doom Generation, The (1995)",Unknown
35,Free Willy 2: The Adventure Home (1995),Unknown
36,Mad Love (1995),Unknown
37,Nadja (1994),Unknown
38,"Net, The (1995)",Unknown
39,Strange Days (1995),Unknown
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Unknown
41,Billy Madison (1995),Unknown
42,Clerks (1994),Unknown
43,Disclosure (1994),Unknown
44,Dolores Claiborne (1994),Unknown
45,Eat Drink Man Woman (1994),Unknown
46,Exotica (1994),Unknown
47,Ed Wood (1994),Unknown
48,Hoop Dreams (1994),Unknown
49,I.Q. (1994),Unknown
50,Star Wars (1977),Unknown
51,Legends of the Fall (1994),Unknown
52,"Madness of King George, The (1994)",Unknown
53,Natural Born Killers (1994),Unknown
54,Outbreak (1995),Unknown
55,"Professional, The (1994)",Unknown
56,Pulp Fiction (1994),Unknown
57,Priest (1994),Unknown
58,Quiz Show (1994),Unknown
59,Three Colors: Red (1994),Unknown
60,Three Colors: Blue (1993),Unknown
61,Three Colors: White (1994),Unknown
62,Stargate (1994),Unknown
63,"Santa Clause, The (1994)",Unknown
64,"Shawshank Redemption, The (1994)",Unknown
65,What's Eating Gilbert Grape (1993),Unknown
66,While You Were Sleeping (1995),Unknown
67,Ace Ventura: Pet Detective (1994),Unknown
68,"Crow, The (1994)",Unknown
69,Forrest Gump (1994),Unknown
70,Four Weddings and a Funeral (1994),Unknown
71,"Lion King, The (1994)",Unknown
72,"Mask, The (1994)",Unknown
73,Maverick (1994),Unknown
74,Faster Pussycat! Kill! Kill! (1965),Unknown
75,Brother Minister: The Assassination of Malcolm X (1994),Unknown
76,Carlito's Way (1993),Unknown
77,"Firm, The (1993)",Unknown
78,Free Willy (1993),Unknown
79,"Fugitive, The (1993)",Unknown
80,Hot Shots! Part Deux (1993),Unknown
81,"Hudsucker Proxy, The (1994)",Unknown
82,Jurassic Park (1993),Unknown
83,Much Ado About Nothing (1993),Unknown
84,Robert A. Heinlein's The Puppet Masters (1994),Unknown
85,"Ref, The (1994)",Unknown
